id_song,artist,title,url,Interprète,Auteurs,Compositeurs,Année
152,Balavoine Daniel,Mon fils ma bataille,/fr/wiki/Mon_fils_ma_bataille,Daniel Balavoine,,,1980
153,Balavoine Daniel,Pour la femme veuve qui s'éveille,/fr/wiki/Pour_la_femme_veuve_qui_s%27%C3%A9veille,Daniel Balavoine,,,1983
154,Balavoine Daniel,Sauver l'amour,/fr/wiki/Sauver_l%27amour,Daniel Balavoine,,,1985
155,Balavoine Daniel,Soulève-moi,/fr/wiki/Soul%C3%A8ve-moi,Daniel Balavoine,,,1982
156,Balavoine Daniel,Tous les cris les S.O.S.,/fr/wiki/Tous_les_cris_les_S.O.S.,Daniel Balavoine,,,1985
157,Balavoine Daniel,Vendeurs de larmes,/fr/wiki/Vendeurs_de_larmes,Daniel Balavoine,,,1982
158,Balavoine Daniel,Vivre ou survivre,/fr/wiki/Vivre_ou_survivre,Daniel Balavoine,,,1982
159,Baldé William,Rayon de soleil,/fr/wiki/Rayon_de_soleil,William Baldé,,,2008
160,Bandolero,Paris latino,/fr/wiki/Paris_latino,Bandolero,,,1983
161,Barbara,"Dis, quand reviendras-tu ?","/fr/wiki/Dis,_quand_reviendras-tu_%3F",Barbara,,,1964
162,Barbara,Göttingen,/fr/wiki/G%C3%B6ttingen,Barbara,,,1964
163,Barbara,L'aigle noir,/fr/wiki/L%27aigle_noir,Barbara,,,1970
164,Barbara,Ma plus belle histoire d'amour,/fr/wiki/Ma_plus_belle_histoire_d%27amour,Barbara,,,1967
165,Barbara,Nantes,/fr/wiki/Nantes,Barbara,,,1964
166,Barbelivien Didier,À toutes les filles,/fr/wiki/%C3%80_toutes_les_filles,Félix Gray et Didier Barbelivien,,,1990
167,Barbelivien Didier,Elle,/fr/wiki/Elle_(Didier_Barbelivien),Didier Barbelivien,,,1980
168,Bardot Brigitte,Bonnie and Clyde,/fr/wiki/Bonnie_and_Clyde,Serge Gainsbourg & Brigitte Bardot,,,1968
169,Bardot Brigitte,Harley Davidson,/fr/wiki/Harley_Davidson,Brigitte Bardot,,,1967
170,Bardot Brigitte,La madrague,/fr/wiki/La_madrague,Brigitte Bardot,,,1962
171,Bardot Brigitte,Moi je joue,/fr/wiki/Moi_je_joue,Brigitte Bardot,,,1964
172,Bardot Brigitte,Tu veux ou tu veux pas,/fr/wiki/Tu_veux_ou_tu_veux_pas_(Brigitte_Bardot),Brigitte Bardot,,,1970
173,Barney Phil,Un enfant de toi,/fr/wiki/Un_enfant_de_toi,Phil Barney,,,1987
174,Barouh Pierre,Un homme et une femme,/fr/wiki/Un_homme_et_une_femme,Pierre Barouh et Nicole Croisille,,,1966
175,Barrière Alain,Elle était si jolie,/fr/wiki/Elle_%C3%A9tait_si_jolie,Alain Barrière,,,1963
176,Barrière Alain,Ma vie,/fr/wiki/Ma_vie_(Alain_Barri%C3%A8re),Alain Barrière,,,1964
177,Barrière Alain,Tu t'en vas,/fr/wiki/Tu_t%27en_vas,Alain Barrière et Noëlle Cordier ,,,1975
178,Barzotti Claude,Je ne t'écrirai plus,/fr/wiki/Je_ne_t%27%C3%A9crirai_plus,Claude Barzotti,,,1983
179,Barzotti Claude,Le rital,/fr/wiki/Le_rital,Claude Barzotti,,,1983
180,Barzotti Claude,Madame,/fr/wiki/Madame,Claude Barzotti,,,1981
181,Bashung Alain,Gaby oh Gaby,/fr/wiki/Gaby_oh_Gaby,Alain Bashung,,,1980
182,Bashung Alain,Je fume pour oublier que tu bois,/fr/wiki/Je_fume_pour_oublier_que_tu_bois,Alain Bashung,,,1979
183,Bashung Alain,La nuit je mens,/fr/wiki/La_nuit_je_mens,Alain Bashung,,,1998
184,Bashung Alain,Ma petite entreprise,/fr/wiki/Ma_petite_entreprise,Alain Bashung,,,1994
185,Bashung Alain,Madame rêve,/fr/wiki/Madame_r%C3%AAve,Alain Bashung,,,1991
186,Bashung Alain,Osez Joséphine,/fr/wiki/Osez_Jos%C3%A9phine,Alain Bashung ,,,1991
187,Bashung Alain,Résidents de la République,/fr/wiki/R%C3%A9sidents_de_la_R%C3%A9publique,Alain Bashung,,,2008
188,Bashung Alain,S.O.S. amor,/fr/wiki/S.O.S._amor,Alain Bashung,,,1984
189,Bashung Alain,Sur un trapèze,/fr/wiki/Sur_un_trap%C3%A8ze,Alain Bashung,,,2008
190,Bashung Alain,Vertige de l'amour,/fr/wiki/Vertige_de_l%27amour,Alain Bashung,,,1980
191,Bastello Jacques,Envie de partir,/fr/wiki/Envie_de_partir,Jacques Bastello,,,1987
192,Bataille Julie,Pas besoin d'éducation sexuelle,/fr/wiki/Pas_besoin_d%27%C3%A9ducation_sexuelle,Julie Bataille,,,1975
193,Bauer Axel,À ma place,/fr/wiki/%C3%80_ma_place,Axel Bauer et Zazie,,,2000
194,Bauer Axel,Cargo,/fr/wiki/Cargo,Axel Bauer,,,1983
195,Bauer Axel,Éteins la lumière,/fr/wiki/%C3%89teins_la_lumi%C3%A8re,Axel Bauer,,,1990
196,Baxter Bill,Embrasse-moi idiot,/fr/wiki/Embrasse-moi_idiot,Bill Baxter,,,1985
197,BB Brunes,Coups et blessures,/fr/wiki/Coups_et_blessures,BB Brunes,,,2012
198,BB Brunes,Dis-moi,/fr/wiki/Dis-moi,BB Brunes,,,2007
199,BB Brunes,Dynamite,/fr/wiki/Dynamite,BB Brunes,,,2009
200,BB Brunes,Lalalove you,/fr/wiki/Lalalove_you,BB Brunes,,,2009
201,BB Brunes,Stéréo,/fr/wiki/St%C3%A9r%C3%A9o,BB Brunes,,,2012
202,Béart Guy,L'eau vive,/fr/wiki/L%27eau_vive,Guy Béart,,,1958
203,Béart Guy,Vive la rose,/fr/wiki/Vive_la_rose,Guy Béart,,,1966
204,Beau Dommage,La complainte du phoque en Alaska,/fr/wiki/La_complainte_du_phoque_en_Alaska,Beau dommage,,,1975
205,Bécaud Gilbert,C'est en septembre,/fr/wiki/C%27est_en_septembre,Gilbert Bécaud,,,1978
206,Bécaud Gilbert,Désirée,/fr/wiki/D%C3%A9sir%C3%A9e,Gilbert Bécaud,,,1983
207,Bécaud Gilbert,Et maintenant,/fr/wiki/Et_maintenant,Gilbert Bécaud,,,1961
208,Bécaud Gilbert,Je reviens te chercher,/fr/wiki/Je_reviens_te_chercher,Gilbert Bécaud,,,1968
209,Bécaud Gilbert,L'important c'est la rose,/fr/wiki/L%27important_c%27est_la_rose,Gilbert Bécaud,,,1967
210,Bécaud Gilbert,L'orange,/fr/wiki/L%27orange,Gilbert Bécaud,,,1964
211,Bécaud Gilbert,La solitude ça n'existe pas,/fr/wiki/La_solitude_%C3%A7a_n%27existe_pas,Gilbert Bécaud,,,1970
212,Bécaud Gilbert,Les marchés de Provence,/fr/wiki/Les_march%C3%A9s_de_Provence,Gilbert Bécaud,,,1957
213,Bécaud Gilbert,Nathalie,/fr/wiki/Nathalie,Gilbert Bécaud,,,1964
214,Bee Gees,How Deep Is Your Love,/fr/wiki/How_Deep_Is_Your_Love,The Bee Gees,,,1977
215,Bee Gees,Stayin' alive,/fr/wiki/Stayin%27_alive,Bee Gees,,,1977
216,Belle Marie-Paule,La parisienne,/fr/wiki/La_parisienne_(Marie-Paule_Belle),Marie-Paule Belle,,,1976
